               T                       Ex                     Ey                     Hx                     Hy                      Hz                      dEx/dt                      dEy/dt                      dHx/dt                      dHy/dt                      dHz/dt
     0.15848931070650D-04     0.14235181047892D-04     0.00000000000000D+00     0.00000000000000D+00     -.60414823820112D-03     0.71126132159001D-03     0.29818109137339D-04     0.00000000000000D+00     0.00000000000000D+00     -.10239570074921D+01     0.31580442355707D-01
     0.19952623915742D-04     0.14235087073551D-04     0.00000000000000D+00     0.00000000000000D+00     -.60018819068752D-03     0.71113136969099D-03     -.30574037285126D-05     0.00000000000000D+00     0.00000000000000D+00     -.91245625962081D+00     0.31792600338943D-01
     0.25118864869000D-04     0.14235215920183D-04     0.00000000000000D+00     0.00000000000000D+00     -.59574578448061D-03     0.71096680779646D-03     -.41140279269950D-04     0.00000000000000D+00     0.00000000000000D+00     -.81304409613890D+00     0.31878156647373D-01
     0.31622777896700D-04     0.14235410657539D-04     0.00000000000000D+00     0.00000000000000D+00     -.59076272366797D-03     0.71076008211209D-03     -.14483801739916D-04     0.00000000000000D+00     0.00000000000000D+00     -.72438679678933D+00     0.31702264782364D-01
     0.39810718590161D-04     0.14235360395914D-04     0.00000000000000D+00     0.00000000000000D+00     -.58517370323804D-03     0.71050106969555D-03     0.17756168872214D-04     0.00000000000000D+00     0.00000000000000D+00     -.64535517623938D+00     0.31632318776929D-01
     0.50118724175263D-04     0.14235198823684D-04     0.00000000000000D+00     0.00000000000000D+00     -.57890535561905D-03     0.71017442324696D-03     0.72559045123593D-05     0.00000000000000D+00     0.00000000000000D+00     -.57491551692769D+00     0.31773826043985D-01
     0.63095736550167D-04     0.14235238388181D-04     0.00000000000000D+00     0.00000000000000D+00     -.57187573237308D-03     0.70976159835200D-03     -.98997779140821D-05     0.00000000000000D+00     0.00000000000000D+00     -.51209646400433D+00     0.31832595544372D-01
     0.79432822531089D-04     0.14235364118861D-04     0.00000000000000D+00     0.00000000000000D+00     -.56399373527366D-03     0.70924254426707D-03     -.26240103112999D-05     0.00000000000000D+00     0.00000000000000D+00     -.45605181430596D+00     0.31722945064111D-01
     0.99999997473788D-04     0.14235287336144D-04     0.00000000000000D+00     0.00000000000000D+00     -.55515771972808D-03     0.70859106262166D-03     0.75531783066320D-05     0.00000000000000D+00     0.00000000000000D+00     -.40606590685464D+00     0.31677658714037D-01
     0.12589254765771D-03     0.14235140789859D-04     0.00000000000000D+00     0.00000000000000D+00     -.54525406149418D-03     0.70777004092624D-03     0.20690140313605D-05     0.00000000000000D+00     0.00000000000000D+00     -.36148434239566D+00     0.31764789415566D-01
